"GLM" "GBM" "GAM" "CTA" "ANN" "FDA" "MARS" "RF"
"bio4" 0.0766 0.5128 0.425233333333333 0.6481 0.447896551724138 0.422466666666667 0.3978 0.520266666666667
"bio8" 0.296033333333333 0.0873666666666667 0.0901 0.2074 0.25851724137931 0.0396333333333333 0.0715666666666667 0.197733333333333
"bio12" 0.380333333333333 0.144666666666667 0.2043 0.258366666666667 0.525103448275862 0.175766666666667 0.214033333333333 0.207066666666667
"bio18" 0.525866666666667 0.488233333333333 0.4683 0.650966666666667 0.497586206896552 0.531533333333333 0.5024 0.506333333333333
